Dataset	Gene
IQ_2018	GALNT3
IQ_2018	TTC21B
IQ_2018	ERICH2
IQ_2018	GAD1
IQ_2018	ZNF385B
IQ_2018	ANKRD44
IQ_2018	SF3B1
IQ_2018	RFTN2
IQ_2018	MARS2
IQ_2018	PLCL1
IQ_2018	SATB2
IQ_2018	C2orf57
IQ_2018	COPS7B
IQ_2018	PLCL2
IQ_2018	UBE2E1
IQ_2018	NKIRAS1
IQ_2018	RPL15
IQ_2018	NR1D2
IQ_2018	THRB
IQ_2018	ARPP21
IQ_2018	TMA7
IQ_2018	ATRIP
IQ_2018	TREX1
IQ_2018	PFKFB4
IQ_2018	COL7A1
IQ_2018	TMEM89
IQ_2018	SLC26A6
IQ_2018	CELSR3
IQ_2018	NCKIPSD
IQ_2018	IP6K2
IQ_2018	PRKAR2A
IQ_2018	SLC25A20
IQ_2018	ARIH2
IQ_2018	P4HTM
IQ_2018	WDR6
IQ_2018	DALRD3
IQ_2018	IMPDH2
IQ_2018	QRICH1
IQ_2018	QARS
IQ_2018	USP19
IQ_2018	LAMB2
IQ_2018	CCDC71
IQ_2018	KLHDC8B
IQ_2018	C3orf84
IQ_2018	CCDC36
IQ_2018	C3orf62
IQ_2018	USP4
IQ_2018	GPX1
IQ_2018	RHOA
IQ_2018	TCTA
IQ_2018	AMT
IQ_2018	NICN1
IQ_2018	DAG1
IQ_2018	BSN
IQ_2018	APEH
IQ_2018	MST1
IQ_2018	RNF123
IQ_2018	AMIGO3
IQ_2018	GMPPB
IQ_2018	IP6K1
IQ_2018	CDHR4
IQ_2018	FAM212A
IQ_2018	UBA7
IQ_2018	TRAIP
IQ_2018	CAMKV
IQ_2018	MST1R
IQ_2018	MON1A
IQ_2018	RBM6
IQ_2018	RBM5
IQ_2018	SEMA3F
IQ_2018	GNAT1
IQ_2018	GNAI2
IQ_2018	IFRD2
IQ_2018	HYAL3
IQ_2018	NAT6
IQ_2018	HYAL1
IQ_2018	TUSC2
IQ_2018	NPRL2
IQ_2018	CACNA2D2
IQ_2018	C3orf18
IQ_2018	MAPKAPK3
IQ_2018	DOCK3
IQ_2018	PCBP4
IQ_2018	ALAS1
IQ_2018	TWF2
IQ_2018	PPM1M
IQ_2018	WDR82
IQ_2018	GLYCTK
IQ_2018	DNAH1
IQ_2018	BAP1
IQ_2018	PHF7
IQ_2018	TNNC1
IQ_2018	NISCH
IQ_2018	STAB1
IQ_2018	NT5DC2
IQ_2018	SMIM4
IQ_2018	PBRM1
IQ_2018	GNL3
IQ_2018	GLT8D1
IQ_2018	SPCS1
IQ_2018	NEK4
IQ_2018	ITIH1
IQ_2018	ITIH3
IQ_2018	ITIH4
IQ_2018	MUSTN1
IQ_2018	TMEM110-MUSTN1
IQ_2018	TMEM110
IQ_2018	SFMBT1
IQ_2018	RFT1
IQ_2018	CACNA2D3
IQ_2018	FOXP1
IQ_2018	CADM2
IQ_2018	EPHA3
IQ_2018	PROS1
IQ_2018	ARL13B
IQ_2018	STX19
IQ_2018	DHFRL1
IQ_2018	NSUN3
IQ_2018	HHLA2
IQ_2018	MYH15
IQ_2018	KIAA1524
IQ_2018	DZIP3
IQ_2018	PPP2R3A
IQ_2018	MSL2
IQ_2018	PCCB
IQ_2018	STAG1
IQ_2018	SLC35G2
IQ_2018	NCK1
IQ_2018	IL20RB
IQ_2018	CLSTN2
IQ_2018	TFDP2
IQ_2018	MYL5
IQ_2018	MFSD7
IQ_2018	PCGF3
IQ_2018	GAK
IQ_2018	DGKQ
IQ_2018	ZFYVE28
IQ_2018	RNF4
IQ_2018	FAM193A
IQ_2018	TNIP2
IQ_2018	SH3BP2
IQ_2018	TAPT1
IQ_2018	LAP3
IQ_2018	MED28
IQ_2018	DCAF16
IQ_2018	NCAPG
IQ_2018	LCORL
IQ_2018	CCDC149
IQ_2018	ANAPC4
IQ_2018	GRID2
IQ_2018	STPG2
IQ_2018	BANK1
IQ_2018	SLC39A8
IQ_2018	TET2
IQ_2018	PPA2
IQ_2018	TTC29
IQ_2018	SH3D19
IQ_2018	FAM160A1
IQ_2018	PET112
IQ_2018	ADCY2
IQ_2018	CDH9
IQ_2018	PLK2
IQ_2018	GAPT
IQ_2018	PDE4D
IQ_2018	C5orf64
IQ_2018	SREK1IP1
IQ_2018	MEF2C
IQ_2018	NR2F1
IQ_2018	PAM
IQ_2018	GIN1
IQ_2018	PPIP5K2
IQ_2018	C5orf30
IQ_2018	FBXL17
IQ_2018	MAN2A1
IQ_2018	NREP
IQ_2018	IGIP
IQ_2018	CYSTM1
IQ_2018	PFDN1
IQ_2018	HBEGF
IQ_2018	SLC4A9
IQ_2018	ANKHD1
IQ_2018	ANKHD1-EIF4EBP3
IQ_2018	SRA1
IQ_2018	EIF4EBP3
IQ_2018	APBB3
IQ_2018	SLC35A4
IQ_2018	CD14
IQ_2018	NDUFA2
IQ_2018	TMCO6
IQ_2018	IK
IQ_2018	WDR55
IQ_2018	DND1
IQ_2018	HARS
IQ_2018	HARS2
IQ_2018	ZMAT2
IQ_2018	PCDHA1
IQ_2018	PCDHA2
IQ_2018	PCDHA3
IQ_2018	PCDHA4
IQ_2018	PCDHA5
IQ_2018	PCDHA6
IQ_2018	PCDHA7
IQ_2018	PCDHA9
IQ_2018	PCDHA10
IQ_2018	PCDHA11
IQ_2018	PCDHA13
IQ_2018	PCDHAC2
IQ_2018	PCDHB5
IQ_2018	PCDHB16
IQ_2018	PCDHGA5
IQ_2018	PCDHGA11
IQ_2018	PCDHGC4
IQ_2018	DOCK2
IQ_2018	MXD3
IQ_2018	PRELID1
IQ_2018	GRK6
IQ_2018	PRR7
IQ_2018	DBN1
IQ_2018	PDLIM7
IQ_2018	FAM193B
IQ_2018	FAM153A
IQ_2018	PSMG4
IQ_2018	SLC22A23
IQ_2018	TMEM170B
IQ_2018	ADTRP
IQ_2018	MCUR1
IQ_2018	CDKAL1
IQ_2018	TRIM38
IQ_2018	HIST1H2BD
IQ_2018	HIST1H4H
IQ_2018	BTN3A2
IQ_2018	BTN2A2
IQ_2018	BTN3A1
IQ_2018	BTN3A3
IQ_2018	BTN2A1
IQ_2018	BTN1A1
IQ_2018	HMGN4
IQ_2018	ABT1
IQ_2018	ZNF322
IQ_2018	HIST1H2BJ
IQ_2018	HIST1H2AG
IQ_2018	HIST1H2BK
IQ_2018	HIST1H4I
IQ_2018	HIST1H2AH
IQ_2018	PRSS16
IQ_2018	POM121L2
IQ_2018	ZNF391
IQ_2018	ZNF184
IQ_2018	HIST1H4J
IQ_2018	HIST1H4K
IQ_2018	HIST1H3J
IQ_2018	ZNF165
IQ_2018	ZSCAN9
IQ_2018	ZKSCAN4
IQ_2018	PGBD1
IQ_2018	ZKSCAN3
IQ_2018	ZSCAN12
IQ_2018	ZSCAN23
IQ_2018	GPX6
IQ_2018	SCAND3
IQ_2018	TRIM27
IQ_2018	C6orf100
IQ_2018	ZNF311
IQ_2018	OR5V1
IQ_2018	OR12D3
IQ_2018	OR11A1
IQ_2018	UBD
IQ_2018	GABBR1
IQ_2018	OR2H2
IQ_2018	FILIP1
IQ_2018	SENP6
IQ_2018	MYO6
IQ_2018	POU3F2
IQ_2018	FBXL4
IQ_2018	FOXO3
IQ_2018	ARID1B
IQ_2018	RPA3-AS1
IQ_2018	GLCCI1
IQ_2018	AVL9
IQ_2018	DDX56
IQ_2018	TMED4
IQ_2018	ZMIZ2
IQ_2018	PPIA
IQ_2018	H2AFV
IQ_2018	PURB
IQ_2018	CCM2
IQ_2018	AUTS2
IQ_2018	CALN1
IQ_2018	KMT2E
IQ_2018	SRPK2
IQ_2018	GRM8
IQ_2018	ZNF800
IQ_2018	GCC1
IQ_2018	ARF5
IQ_2018	FSCN3
IQ_2018	PAX4
IQ_2018	SND1
IQ_2018	LRRC4
IQ_2018	METTL2B
IQ_2018	FAM71F2
IQ_2018	CALU
IQ_2018	OPN1SW
IQ_2018	EXOC4
IQ_2018	LRGUK
IQ_2018	SGCZ
IQ_2018	PURG
IQ_2018	WRN
IQ_2018	ARMC1
IQ_2018	MTFR1
IQ_2018	PDE7A
IQ_2018	RUNX1T1
IQ_2018	RIMS2
IQ_2018	TSNARE1
IQ_2018	BAI1
IQ_2018	FBXL6
IQ_2018	CPSF1
IQ_2018	VPS28
IQ_2018	TONSL
IQ_2018	CYHR1
IQ_2018	KIFC2
IQ_2018	FOXH1
IQ_2018	PPP1R16A
IQ_2018	GPT
IQ_2018	RECQL4
IQ_2018	LRRC14
IQ_2018	LRRC24
IQ_2018	C8orf82
IQ_2018	ARHGAP39
IQ_2018	ZNF251
IQ_2018	ZNF34
IQ_2018	RPL8
IQ_2018	ZNF517
IQ_2018	ZNF7
IQ_2018	ELAVL2
IQ_2018	PTCH1
IQ_2018	SLC35D2
IQ_2018	ZNF367
IQ_2018	HABP4
IQ_2018	CDC14B
IQ_2018	PHYHD1
IQ_2018	NUP188
IQ_2018	SH3GLB2
IQ_2018	FAM73B
IQ_2018	DOLPP1
IQ_2018	CRAT
IQ_2018	PPP2R4
IQ_2018	IER5L
IQ_2018	NRBF2
IQ_2018	JMJD1C
IQ_2018	REEP3
IQ_2018	PPP1R3C
IQ_2018	TNKS2
IQ_2018	MARCH5
IQ_2018	ERLIN1
IQ_2018	CHUK
IQ_2018	CWF19L1
IQ_2018	BLOC1S2
IQ_2018	BTRC
IQ_2018	FGF8
IQ_2018	NPM3
IQ_2018	MGEA5
IQ_2018	KCNIP2
IQ_2018	C10orf76
IQ_2018	HPS6
IQ_2018	LDB1
IQ_2018	PPRC1
IQ_2018	NOLC1
IQ_2018	ELOVL3
IQ_2018	PITX3
IQ_2018	GBF1
IQ_2018	NFKB2
IQ_2018	PSD
IQ_2018	FBXL15
IQ_2018	CUEDC2
IQ_2018	C10orf95
IQ_2018	TMEM180
IQ_2018	SORCS3
IQ_2018	GPR26
IQ_2018	PPP2R2D
IQ_2018	BNIP3
IQ_2018	JAKMIP3
IQ_2018	DPYSL4
IQ_2018	DDB2
IQ_2018	ACP2
IQ_2018	NR1H3
IQ_2018	MADD
IQ_2018	MYBPC3
IQ_2018	SPI1
IQ_2018	SLC39A13
IQ_2018	PSMC3
IQ_2018	RAPSN
IQ_2018	CELF1
IQ_2018	NDUFS3
IQ_2018	PTPMT1
IQ_2018	KBTBD4
IQ_2018	FAM180B
IQ_2018	C1QTNF4
IQ_2018	MTCH2
IQ_2018	AGBL2
IQ_2018	FNBP4
IQ_2018	NUP160
IQ_2018	PTPRJ
IQ_2018	MACROD1
IQ_2018	FLRT1
IQ_2018	BAD
IQ_2018	GPR137
IQ_2018	TENM4
IQ_2018	FAM76B
IQ_2018	CEP57
IQ_2018	MTMR2
IQ_2018	GRIA4
IQ_2018	MSANTD4
IQ_2018	NCAM1
IQ_2018	VWA5A
IQ_2018	IGSF9B
IQ_2018	RERG
IQ_2018	PTPRO
IQ_2018	CACNB3
IQ_2018	CCDC65
IQ_2018	FKBP11
IQ_2018	ARF3
IQ_2018	WNT10B
IQ_2018	DDN
IQ_2018	PRKAG1
IQ_2018	KMT2D
IQ_2018	RHEBL1
IQ_2018	LMBR1L
IQ_2018	TUBA1B
IQ_2018	MARS
IQ_2018	OS9
IQ_2018	TSPAN31
IQ_2018	CDK4
IQ_2018	MARCH9
IQ_2018	CYP27B1
IQ_2018	METTL1
IQ_2018	METTL21B
IQ_2018	TSFM
IQ_2018	AVIL
IQ_2018	CTDSP2
IQ_2018	XRCC6BP1
IQ_2018	SYT1
IQ_2018	C12orf74
IQ_2018	PLEKHG7
IQ_2018	EEA1
IQ_2018	UBE2N
IQ_2018	VPS37B
IQ_2018	ABCB9
IQ_2018	OGFOD2
IQ_2018	ARL6IP4
IQ_2018	PITPNM2
IQ_2018	MPHOSPH9
IQ_2018	C12orf65
IQ_2018	CDK2AP1
IQ_2018	SBNO1
IQ_2018	SETD8
IQ_2018	SNRNP35
IQ_2018	RILPL1
IQ_2018	DNAH10
IQ_2018	PCDH17
IQ_2018	MBNL2
IQ_2018	NOVA1
IQ_2018	PRKD1
IQ_2018	AKAP6
IQ_2018	NKX2-8
IQ_2018	EXD2
IQ_2018	DCAF4
IQ_2018	ZFYVE1
IQ_2018	RBM25
IQ_2018	PSEN1
IQ_2018	PAPLN
IQ_2018	EIF5
IQ_2018	MARK3
IQ_2018	CKB
IQ_2018	TRMT61A
IQ_2018	BAG5
IQ_2018	KLC1
IQ_2018	APOPT1
IQ_2018	XRCC3
IQ_2018	ZFYVE21
IQ_2018	C15orf52
IQ_2018	PHGR1
IQ_2018	DISP2
IQ_2018	KNSTRN
IQ_2018	IVD
IQ_2018	BAHD1
IQ_2018	C15orf57
IQ_2018	RMDN3
IQ_2018	GCHFR
IQ_2018	ZFYVE19
IQ_2018	DLL4
IQ_2018	INO80
IQ_2018	CHP1
IQ_2018	RTF1
IQ_2018	GLDN
IQ_2018	DMXL2
IQ_2018	SCG3
IQ_2018	LYSMD2
IQ_2018	TMOD2
IQ_2018	TMOD3
IQ_2018	GNB5
IQ_2018	IGDCC4
IQ_2018	DPP8
IQ_2018	PTPLAD1
IQ_2018	DENND4A
IQ_2018	RAB11A
IQ_2018	MEX3B
IQ_2018	EFTUD1
IQ_2018	FAM154B
IQ_2018	GOLGA6L10
IQ_2018	GOLGA6L9
IQ_2018	RPS17
IQ_2018	GOLGA6L19
IQ_2018	CPEB1
IQ_2018	AP3B2
IQ_2018	WHAMM
IQ_2018	NTRK3
IQ_2018	RBFOX1
IQ_2018	GRIN2A
IQ_2018	SNX29
IQ_2018	SHISA9
IQ_2018	TNRC6A
IQ_2018	SLC5A11
IQ_2018	SBK1
IQ_2018	NPIPB6
IQ_2018	EIF3CL
IQ_2018	NPIPB7
IQ_2018	CLN3
IQ_2018	APOBR
IQ_2018	IL27
IQ_2018	NUPR1
IQ_2018	CCDC101
IQ_2018	SULT1A2
IQ_2018	SULT1A1
IQ_2018	NPIPB8
IQ_2018	EIF3C
IQ_2018	NPIPB9
IQ_2018	ATXN2L
IQ_2018	TUFM
IQ_2018	SH2B1
IQ_2018	ATP2A1
IQ_2018	RABEP2
IQ_2018	CD19
IQ_2018	NFATC2IP
IQ_2018	SPNS1
IQ_2018	LAT
IQ_2018	SALL1
IQ_2018	RBL2
IQ_2018	AKTIP
IQ_2018	CDH8
IQ_2018	HSD11B2
IQ_2018	GFOD2
IQ_2018	TSNAXIP1
IQ_2018	CTRL
IQ_2018	LCAT
IQ_2018	SLC12A4
IQ_2018	DPEP3
IQ_2018	DPEP2
IQ_2018	DUS2
IQ_2018	DDX28
IQ_2018	NFATC3
IQ_2018	ESRP2
IQ_2018	PLA2G15
IQ_2018	SLC7A6
IQ_2018	SLC7A6OS
IQ_2018	PRMT7
IQ_2018	SMPD3
IQ_2018	MTSS1L
IQ_2018	VAC14
IQ_2018	ZNF23
IQ_2018	ZNF19
IQ_2018	TAT
IQ_2018	MARVELD3
IQ_2018	PHLPP2
IQ_2018	AP1G1
IQ_2018	ATXN1L
IQ_2018	IST1
IQ_2018	ZNF821
IQ_2018	HP
IQ_2018	HPR
IQ_2018	DHX38
IQ_2018	PMFBP1
IQ_2018	CCL3L3
IQ_2018	CCL3L1
IQ_2018	CCL4L2
IQ_2018	ZNHIT3
IQ_2018	MYO19
IQ_2018	PIGW
IQ_2018	GGNBP2
IQ_2018	DHRS11
IQ_2018	MRM1
IQ_2018	FZD2
IQ_2018	GJC1
IQ_2018	EFTUD2
IQ_2018	CCDC103
IQ_2018	GFAP
IQ_2018	ARHGAP27
IQ_2018	CRHR1
IQ_2018	MAPT
IQ_2018	KANSL1
IQ_2018	ARL17B
IQ_2018	LRRC37A
IQ_2018	LRRC37A2
IQ_2018	ARL17A
IQ_2018	NSF
IQ_2018	WNT3
IQ_2018	ATP5G1
IQ_2018	UBE2Z
IQ_2018	SNF8
IQ_2018	IGF2BP1
IQ_2018	MPO
IQ_2018	BZRAP1
IQ_2018	SUPT4H1
IQ_2018	RNF43
IQ_2018	HSF5
IQ_2018	MTMR4
IQ_2018	SEPT4
IQ_2018	C17orf47
IQ_2018	TEX14
IQ_2018	RAD51C
IQ_2018	PPM1E
IQ_2018	TRIM37
IQ_2018	SKA2
IQ_2018	PRR11
IQ_2018	SMG8
IQ_2018	DCC
IQ_2018	MPND
IQ_2018	SH3GL1
IQ_2018	CHAF1A
IQ_2018	UBXN6
IQ_2018	HDGFRP2
IQ_2018	MAN2B1
IQ_2018	HOOK2
IQ_2018	GCDH
IQ_2018	SYCE2
IQ_2018	NFIX
IQ_2018	IL12RB1
IQ_2018	MAST3
IQ_2018	PIK3R2
IQ_2018	MPV17L2
IQ_2018	RAB3A
IQ_2018	PDE4C
IQ_2018	KIAA1683
IQ_2018	TSHZ3
IQ_2018	PAPL
IQ_2018	PAK4
IQ_2018	ARHGAP35
IQ_2018	NPAS1
IQ_2018	TMEM160
IQ_2018	ZC3H4
IQ_2018	SAE1
IQ_2018	BBC3
IQ_2018	ZNF544
IQ_2018	A1BG
IQ_2018	RPS5
IQ_2018	ZNF584
IQ_2018	ZNF132
IQ_2018	ZNF324B
IQ_2018	ZNF324
IQ_2018	ZNF446
IQ_2018	SLC27A5
IQ_2018	ZBTB45
IQ_2018	TRIM28
IQ_2018	CHMP2A
IQ_2018	UBE2M
IQ_2018	MZF1
IQ_2018	EDEM2
IQ_2018	UQCC1
IQ_2018	CEP250
IQ_2018	ERGIC3
IQ_2018	SPAG4
IQ_2018	CPNE1
IQ_2018	RBM12
IQ_2018	NFS1
IQ_2018	ROMO1
IQ_2018	RBM39
IQ_2018	PHF20
IQ_2018	SCAND1
IQ_2018	CNBD2
IQ_2018	EPB41L1
IQ_2018	AAR2
IQ_2018	PREX1
IQ_2018	ARFGEF2
IQ_2018	CSE1L
IQ_2018	STAU1
IQ_2018	DDX27
IQ_2018	ZNFX1
IQ_2018	KCNB1
IQ_2018	PSMG1
IQ_2018	BRWD1
IQ_2018	HMGN1
IQ_2018	WRB
IQ_2018	LCA5L
IQ_2018	SH3BGR
IQ_2018	OSBP2
IQ_2018	MORC2
IQ_2018	SELM
IQ_2018	CDC42EP1
IQ_2018	LGALS2
IQ_2018	GGA1
IQ_2018	SH3BP1
IQ_2018	NOL12
IQ_2018	TRIOBP
IQ_2018	H1F0
IQ_2018	GCAT
IQ_2018	GALR3
IQ_2018	ANKRD54
IQ_2018	MICALL1
IQ_2018	C22orf23
IQ_2018	SUN2
IQ_2018	PDGFB
IQ_2018	RPL3
IQ_2018	SYNGR1
IQ_2018	TAB1
IQ_2018	MGAT3
IQ_2018	MIEF1
IQ_2018	ATF4
IQ_2018	CACNA1I
IQ_2018	ST13
IQ_2018	XPNPEP3
IQ_2018	DNAJB7
IQ_2018	EP300
IQ_2018	L3MBTL2
IQ_2018	CHADL
IQ_2018	RANGAP1
IQ_2018	ZC3H7B
IQ_2018	TEF
IQ_2018	TOB2
IQ_2018	PHF5A
IQ_2018	ACO2
IQ_2018	POLR3H
IQ_2018	CSDC2
IQ_2018	DESI1
IQ_2018	XRCC6
IQ_2018	NHP2L1
IQ_2018	MEI1
IQ_2018	CCDC134
IQ_2018	SREBF2
IQ_2018	SHISA8
IQ_2018	TNFRSF13C
IQ_2018	CENPM
IQ_2018	SEPT3
IQ_2018	WBP2NL
IQ_2018	NAGA
IQ_2018	FAM109B
IQ_2018	SMDT1
IQ_2018	NDUFA6
IQ_2018	CYP2D6
IQ_2018	TCF20
IQ_2018	NFAM1
MDD_2018	ASTN2
MDD_2018	BAG5
MDD_2018	C6orf168
MDD_2018	CRYBA1
MDD_2018	DCC
MDD_2018	DENND1A
MDD_2018	DENND1B
MDD_2018	DKFZp686K1684
MDD_2018	DLST
MDD_2018	ENOX1
MDD_2018	FBXL4
MDD_2018	L3MBTL2
MDD_2018	LINC00461
MDD_2018	LINC01360
MDD_2018	LINC01876
MDD_2018	LOC101927421
MDD_2018	LRFN5
MDD_2018	MIR924HG
MDD_2018	NEGR1
MDD_2018	OLFM4
MDD_2018	PAUPAR
MDD_2018	PMFBP1
MDD_2018	PUM3
MDD_2018	RAB27B
MDD_2018	RBFOX1
MDD_2018	RERE
MDD_2018	RSRC1
MDD_2018	SHISA9
MDD_2018	SLC30A9
MDD_2018	SORCS3
MDD_2018	SOX5
MDD_2018	SYNE2
MDD_2018	TCF4
MDD_2018	TENM2
MDD_2018	TMEM106B
MDD_2018	TOPAZ1
MDD_2018	VRK2
MDD_2018	APOPT1
MDD_2018	CCDC122
MDD_2018	CCDC68
MDD_2018	CHADL
MDD_2018	CPPED1
MDD_2018	DCAF4L1
MDD_2018	DHX38
MDD_2018	ELP4
MDD_2018	EP300-AS1
MDD_2018	ESR2
MDD_2018	GPD2
MDD_2018	LACC1
MDD_2018	LHX2
MDD_2018	LINC00682
MDD_2018	LINC01065
MDD_2018	LINC01231
MDD_2018	LOC100996447
MDD_2018	MEF2C
MDD_2018	MIR4528
MDD_2018	MIR4529
MDD_2018	MIR548H1
MDD_2018	MLF1
MDD_2018	MYO18A
MDD_2018	NR4A2
MDD_2018	NUFIP2
MDD_2018	PAX6
MDD_2018	PROX2
MDD_2018	RPS6KL1
MDD_2018	SLC45A1
MDD_2018	TCAIM
MDD_2018	VWDE
MDD_2018	ZNF445
ADHD_2019	ARTN
ADHD_2019	ATP6V0B
ADHD_2019	ATP6V1E1P1
ADHD_2019	B4GALT2
ADHD_2019	CCDC24
ADHD_2019	DUSP6
ADHD_2019	EBNA1BP2
ADHD_2019	FOXP2
ADHD_2019	HCCAT5
ADHD_2019	HP
ADHD_2019	HPR
ADHD_2019	HYI
ADHD_2019	HYI-AS1
ADHD_2019	KDM4A
ADHD_2019	KDM4A-AS1
ADHD_2019	LINC00461
ADHD_2019	LINC01288
ADHD_2019	LINC01572
ADHD_2019	LINC01787
ADHD_2019	LINC02060
ADHD_2019	MED8
ADHD_2019	PCDH7
ADHD_2019	PTPRF
ADHD_2019	RNF220
ADHD_2019	SEMA6D
ADHD_2019	SGO1-AS1
ADHD_2019	SLC6A9
ADHD_2019	SORCS3
ADHD_2019	SPAG16
ADHD_2019	ST3GAL3
ADHD_2019	SZT2
ADHD_2019	SZT2-AS1
ADHD_2019	TMEM161B
ADHD_2019	TMEM161B-AS1
ADHD_2019	TMEM56
ADHD_2019	TMEM56-RWDD3
ADHD_2019	WDR65
ADHD_2019	ZNF385D
ASD_2019	C8orf74
ASD_2019	CADPS
ASD_2019	KIZ
ASD_2019	KMT2E
ASD_2019	LOC102723661
ASD_2019	MACROD2
ASD_2019	MARK3
ASD_2019	MMS22L
ASD_2019	MROH5
ASD_2019	NEGR1
ASD_2019	NUD12
ASD_2019	SLC30A9
ASD_2019	APOPT1
ASD_2019	BAG5
ASD_2019	BEND4
ASD_2019	CKB
ASD_2019	DCAF4L1
ASD_2019	KLC1
ASD_2019	NKX2-2
ASD_2019	NKX2-4
ASD_2019	PINX1
ASD_2019	POU3F2
ASD_2019	PTBP2
ASD_2019	SOX7
ASD_2019	SRPK2
ASD_2019	TMEM33
ASD_2019	TRMT61A
ASD_2019	XRCC3
ASD_2019	XRN2
PD_2014	ACMSD
PD_2014	APOOP2
PD_2014	BCKDK
PD_2014	BST1
PD_2014	CCDC62
PD_2014	DDRGK1
PD_2014	DGKQ
PD_2014	DLG2
PD_2014	FAM47E
PD_2014	GAK
PD_2014	GBA
PD_2014	GCH1
PD_2014	GPNMB
PD_2014	HLA-DQB1
PD_2014	INPP5F
PD_2014	KRT8P25
PD_2014	LRRK2
PD_2014	MAPT
PD_2014	MCCC1
PD_2014	MIR4697
PD_2014	NUCKS1
PD_2014	RAB7L1
PD_2014	RIT2
PD_2014	SCARB2
PD_2014	SIPA1L2
PD_2014	SNCA
PD_2014	SPPL2B
PD_2014	STK39
PD_2014	STX1B
PD_2014	SYT11
PD_2014	TMEM163
PD_2014	TMEM175
PD_2014	TMEM229B
PD_2014	VPS13C
